iter	Passed	Remaining
0	7	1480
1	10	1036
2	12	851
3	15	753
4	17	690
5	20	666
6	23	650
7	25	618
8	27	592
9	30	571
10	32	555
11	34	543
12	37	541
13	40	538
14	42	527
15	45	517
16	47	511
17	49	504
18	54	517
19	57	515
20	60	514
21	62	509
22	65	500
23	67	493
24	69	489
25	72	484
26	74	480
27	77	476
28	79	471
29	82	466
30	85	465
31	87	460
32	90	456
33	92	451
34	94	446
35	96	441
36	99	436
37	102	436
38	104	431
39	106	426
40	109	423
41	111	420
42	114	416
43	117	414
44	119	412
45	121	407
46	123	402
47	125	398
48	127	393
49	129	389
50	132	385
51	135	384
52	137	381
53	139	378
54	142	374
55	144	372
56	147	370
57	150	369
58	153	366
59	156	364
60	158	360
61	162	360
62	165	360
63	170	362
64	173	360
65	177	359
66	180	357
67	183	355
68	186	353
69	188	350
70	191	347
71	193	344
72	196	341
73	199	339
74	202	337
75	205	335
76	208	332
77	210	329
78	215	329
79	218	327
80	220	323
81	222	320
82	225	317
83	227	314
84	231	312
85	233	309
86	236	306
87	238	303
88	240	300
89	242	296
90	245	294
91	248	291
92	251	289
93	253	286
94	256	283
95	259	281
96	262	279
97	266	277
98	269	274
99	271	271
100	274	268
101	276	265
102	280	264
103	283	261
104	285	258
105	287	255
106	290	252
107	293	249
108	298	249
109	301	246
110	304	243
111	306	241
112	309	238
113	312	236
114	315	233
115	318	230
116	321	228
117	324	225
118	327	222
119	329	219
120	332	216
121	334	213
122	336	210
123	339	208
124	342	205
125	344	202
126	347	199
127	349	196
128	351	193
129	354	190
130	356	187
131	359	185
132	362	182
133	364	179
134	367	176
135	370	174
136	372	171
137	375	168
138	378	165
139	380	163
140	382	160
141	384	157
142	387	154
143	389	151
144	392	148
145	395	146
146	399	143
147	401	141
148	403	138
149	406	135
150	408	132
151	411	130
152	414	127
153	416	124
154	418	121
155	420	118
156	422	115
157	425	113
158	428	110
159	431	107
160	433	105
161	436	102
162	439	99
163	442	97
164	444	94
165	446	91
166	449	88
167	451	86
168	454	83
169	458	80
170	462	78
171	464	75
172	468	73
173	470	70
174	473	67
175	476	64
176	478	62
177	480	59
178	483	56
179	485	53
180	488	51
181	491	48
182	494	45
183	496	43
184	499	40
185	501	37
186	505	35
187	507	32
188	509	29
189	511	26
190	513	24
191	515	21
192	518	18
193	521	16
194	523	13
195	526	10
196	528	8
197	530	5
198	533	2
199	536	0
